prediction,qbaked,qduck,qhungry,qcasserole,qscallops,qlasagna,qhotdog,qfries,qsoy,qgreen,qturkey,qgrits,qhealthy,qcranberries,qfruit,qcook,qbrunch,qwatercress,qsupper,qtoast,qmeat,qhot,qpotato,qolive,qdiner,feedback,heightcm,weightkg,lat,lng,comments,gender,age
0,1,NA,NA,NA,NA,1,NA,NA,NA,2,0,NA,NA,NA,2,2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,173,64,17.34,42.98,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,2,0,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,160,66,32.25,-110.94,,NA,NA
0,2,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,168,65,32.22,-110.93,,NA,NA
0,1,NA,NA,NA,NA,1,NA,NA,NA,2,0,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,183,73,32.22,-110.93,"it will be good to embed a BMI calculator on the last page, where we make the prediction. that way, people who don't know the me",NA,NA
0,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.19,-110.99,,NA,NA
0,2,NA,NA,NA,NA,0,NA,NA,NA,1,0,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,157,68,32.22,-110.82,,NA,NA
0,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,NA,NA
0,0,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,2,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA
0,2,NA,NA,NA,NA,0,NA,NA,NA,2,1,NA,NA,NA,2,2,NA,0,NA,NA,NA,NA,NA,NA,NA,0,188,86,32.39,-111.06,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,2,1,NA,NA,NA,0,1,NA,2,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,1,2,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,,NA,NA
0,1,NA,NA,NA,NA,0,NA,NA,NA,2,1,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,188,79,32.25,-110.94,Rather than just asking if I'm below median BMI for all people in the US group men and women in the US into two different groups,NA,NA
