STATE_NAME	COUNTY_NAME	STATE_FIPS	COUNTY_FIPS	total	totalsd	tot95l	tot95u	five_rank	fifty_rank	ninetyfive_rank	percent	persd	per95l	per95u	adjpercent	adjpersd	adjper95l	adjper95u	lipertot09
Alabama	Autauga County	1	1	11361	1010	9428	13406	1693	2527	2992	32.2	2.9	26.7	38	31.8	2.8	26.4	37.6	3
Alabama	Baldwin County	1	3	33720	1887	30169	37498	616	1021	1541	25.2	1.4	22.5	28	24.2	1.4	21.5	27.1	2
Alabama	Barbour County	1	5	7636	574	6539	8769	2158	2775	3059	34.2	2.6	29.3	39.3	33.9	2.6	28.9	38.9	3
Alabama	Bibb County	1	7	5971	471	5058	6904	2604	3007	3124	37.2	2.9	31.5	43	36.8	2.9	31.2	42.7	3
Alabama	Blount County	1	9	15400	1360	12848	18188	2250	2893	3113	35.9	3.2	29.9	42.4	35.1	3.2	29.2	41.7	3
Alabama	Bullock County	1	11	2459	269	1963	3012	1304	2344	2979	30.8	3.4	24.6	37.8	30.8	3.3	24.7	37.8	3
Alabama	Butler County	1	13	5318	380	4584	6072	2494	2952	3103	36.6	2.6	31.5	41.7	35.9	2.6	30.8	41.1	3
Alabama	Calhoun County	1	15	28492	1416	25765	31292	2322	2712	2961	33.8	1.7	30.6	37.1	33.3	1.7	30	36.7	3
Alabama	Chambers County	1	17	9243	725	7866	10706	2298	2884	3098	35.8	2.8	30.5	41.5	35	2.8	29.7	40.6	3
Alabama	Cherokee County	1	19	6758	701	5440	8187	1923	2840	3116	35.8	3.7	28.8	43.4	34.6	3.7	27.6	42.1	3
Alabama	Chilton County	1	21	9718	919	7958	11531	1308	2288	2907	30.9	2.9	25.3	36.7	30.4	2.9	24.9	36.2	3
Alabama	Choctaw County	1	23	3637	255	3146	4151	2273	2795	3064	35	2.5	30.3	39.9	34.1	2.5	29.4	39.1	3
Alabama	Clarke County	1	25	7116	517	6126	8150	2641	3016	3126	38	2.8	32.7	43.5	37.1	2.8	31.8	42.7	3
Alabama	Clay County	1	27	3903	357	3209	4603	2364	2971	3125	37.5	3.4	30.8	44.2	36.3	3.4	29.6	43	3
Alabama	Cleburne County	1	29	3681	402	2942	4508	1617	2644	3071	33.5	3.7	26.8	41	32.8	3.7	26	40.3	3
Alabama	Coffee County	1	31	10266	859	8674	12010	1075	1838	2586	28.6	2.4	24.2	33.5	28.2	2.4	23.8	33.1	2
Alabama	Colbert County	1	33	14316	934	12510	16200	2224	2762	3040	34.7	2.3	30.3	39.3	33.7	2.3	29.4	38.3	3
Alabama	Conecuh County	1	35	3474	300	2904	4070	2254	2867	3102	36.1	3.1	30.2	42.3	34.9	3.1	29.1	41.2	3
Alabama	Coosa County	1	37	2858	292	2302	3443	1898	2756	3099	34.8	3.6	28	41.9	33.7	3.5	27.2	40.6	3
Alabama	Covington County	1	39	10277	788	8790	11875	2452	2959	3116	37.3	2.9	31.9	43.1	36	2.9	30.6	41.9	3
Alabama	Crenshaw County	1	41	3383	339	2742	4096	1602	2592	3057	33.4	3.4	27.1	40.5	32.4	3.3	26.2	39.4	3
Alabama	Cullman County	1	43	17896	1753	14637	21413	994	1966	2752	29.4	2.9	24.1	35.2	28.7	2.9	23.4	34.5	2
Alabama	Dale County	1	45	10938	873	9323	12729	1636	2385	2893	31.3	2.5	26.7	36.4	31	2.5	26.4	36.1	3
Alabama	Dallas County	1	47	9975	560	8882	11088	2230	2719	2989	34	1.9	30.2	37.7	33.3	1.9	29.5	37.1	3
Alabama	DeKalb County	1	49	13795	1370	11258	16634	718	1602	2498	27.6	2.7	22.5	33.2	27	2.7	22	32.7	2
Alabama	Elmore County	1	51	18389	1454	15588	21336	1686	2473	2943	31.7	2.5	26.9	36.8	31.5	2.5	26.7	36.5	3
Alabama	Escambia County	1	53	10464	633	9264	11726	2716	3010	3116	37.6	2.3	33.3	42.1	37	2.3	32.7	41.7	3
Alabama	Etowah County	1	55	26290	1593	23164	29494	2179	2721	3005	34.1	2.1	30.1	38.3	33.2	2.1	29.2	37.5	3
Alabama	Fayette County	1	57	4265	410	3490	5115	1548	2494	3014	32.6	3.1	26.7	39.1	31.8	3.1	25.9	38.3	3
Alabama	Franklin County	1	59	8362	733	6909	9807	2340	2976	3123	37.1	3.3	30.6	43.5	36.3	3.3	29.9	42.8	3
Alabama	Geneva County	1	61	6974	624	5762	8223	2026	2812	3100	35.3	3.2	29.2	41.7	34.2	3.2	28	40.6	3
Alabama	Greene County	1	63	2406	204	2010	2810	2599	3029	3133	38	3.2	31.8	44.4	37.4	3.2	31.2	43.7	3
Alabama	Hale County	1	65	4635	365	3955	5365	2343	2899	3102	35.6	2.8	30.4	41.2	35.2	2.8	29.9	40.8	3
Alabama	Henry County	1	67	3844	359	3158	4554	1261	2226	2877	31	2.9	25.4	36.7	30.1	2.9	24.6	35.7	3
Alabama	Houston County	1	69	24251	1341	21731	26908	2132	2628	2937	33.1	1.8	29.7	36.8	32.5	1.9	29	36.2	3
Alabama	Jackson County	1	71	11959	1275	9633	14562	1013	2058	2868	30.1	3.2	24.3	36.7	29.2	3.2	23.4	35.8	3
Alabama	Jefferson County	1	73	142873	5338	132557	153568	1594	1984	2355	29.2	1.1	27.1	31.4	28.8	1.1	26.7	31	5
Alabama	Lamar County	1	75	3860	362	3176	4584	2015	2829	3104	35.6	3.3	29.3	42.3	34.4	3.4	28	41.3	3
Alabama	Lauderdale County	1	77	22329	1269	19892	24838	2022	2551	2898	32.7	1.9	29.1	36.4	32	1.9	28.4	35.8	3
Alabama	Lawrence County	1	79	9161	867	7505	10910	2191	2906	3117	36	3.4	29.5	42.9	35.3	3.4	28.9	42.1	3
Alabama	Lee County	1	81	26758	2185	22757	31082	1046	1768	2506	27.4	2.2	23.3	31.9	27.9	2.2	23.8	32.3	2
Alabama	Limestone County	1	83	18253	1635	15180	21508	1529	2380	2954	31.4	2.8	26.1	37	31	2.8	25.8	36.5	3
Alabama	Lowndes County	1	85	3356	263	2840	3881	2644	3029	3130	38.1	3	32.2	44.1	37.5	3	31.9	43.4	3
