Location,illiteracy_rate
Alabama,14.827015945
Alaska,9.160871869
Arizona,13.092093542
Arkansas,13.726761196
California,23.050444251
Colorado,9.9156850821
Connecticut,8.5662527957
Delaware,10.716952954
District of Columbia,19.124763464
Florida,19.660631901
Georgia,16.72926654
Hawaii,15.876558626
Idaho,10.535954949
Illinois,12.947713036
Indiana,8.0166983991
Iowa,7.4952904509
Kansas,7.7541613676
Kentucky,12.184479054
Louisiana,15.963945372
Maine,7.4163079877
Maryland,11.215891577
Massachusetts,9.9051667121
Michigan,8.2991420453
Minnesota,5.9535787844
Mississippi,16.043086199
Missouri,7.4702406512
Montana,8.7817036057
Nebraska,7.2755113783
Nevada,16.128981331
New Hampshire,5.8163089619
New Jersey,16.91716252
New Mexico,16.463909785
New York,22.089089502
North Carolina,13.599532082
North Dakota,6.3275376668
Ohio,9.1462628491
Oklahoma,12.257169257
Oregon,10.24380295
Pennsylvania,12.620446224
Rhode Island,8.4590548684
South Carolina,14.694434787
South Dakota,6.9711738048
Tennessee,13.172281147
Texas,19.028309617
Utah,9.3875390281
Vermont,6.6039104565
Virginia,12.04873585
Washington,9.8189380317
West Virginia,13.449535711
Wisconsin,7.3296479397
Wyoming,8.941774069
