able	9.0	nan
about	16.0	nan
absolutely	10.0	11.0
abuela	9.0	nan
abv	1.0	nan
acai	15.0	nan
acorn	15.0	nan
action	12.0	nan
active	16.0	nan
activities	16.0	nan
adam	8.0	6.0
added	16.0	nan
addicted	8.0	nan
adding	16.0	nan
additional	13.0	nan
additions	13.0	nan
adequate	14.0	nan
adult	14.0	nan
adventure	13.0	nan
adventures	13.0	nan
after	13.0	16.0
afternoon	7.0	nan
against	8.0	8.0
ahead	8.0	nan
ahi	8.0	nan
aioli	5.0	nan
air	12.0	10.0
aisy	9.0	nan
aka	8.0	nan
albondigas	9.0	nan
alcoholism	9.0	nan
ale	9.0	nan
all	10.0	16.0
alle	11.0	nan
allee	12.0	nan
alligee7	8.0	nan
allll	10.0	nan
allways	9.0	nan
ally	8.0	nan
alma	13.0	13.0
almond-butter	11.0	nan
almond-crusted	8.0	nan
almonds	13.0	nan
almost	10.0	nan
almosted	10.0	nan
alone	10.0	nan
along	9.0	nan
alpha	14.0	13.0
alphabet	12.0	nan
also	11.0	nan
alternative	13.0	nan
alternatives	13.0	nan
alu	11.0	nan
alumni	1.0	nan
alway	9.0	11.0
am-9	15.0	nan
amadeus	14.0	nan
amazing	14.0	16.0
amazingdianne	14.0	nan
amazingg	14.0	nan
amazingly	14.0	nan
amazinnnngg	14.0	nan
amber	12.0	nan
amc	8.0	8.0
american	12.0	nan
americans	12.0	nan
amical	15.0	nan
amid	11.0	nan
amie	12.0	nan
aminos	10.0	nan
amish	12.0	14.0
amityville	16.0	nan
amor	14.0	10.0
amore	14.0	10.0
amurphyrn	12.0	nan
amy	12.0	16.0
ana	6.0	nan
anabrucelee	9.0	nan
anacorina	15.0	nan
anaheim	8.0	nan
anas	6.0	nan
anchor	9.0	9.0
anchorage	9.0	nan
andiamo	9.0	nan
andrea	10.0	11.0
andrejp69	10.0	nan
andrewwinston	1.0	nan
angel	13.0	nan
angel-hair	13.0	nan
angeles	13.0	nan
angi	12.0	14.0
animated	9.0	nan
anime	9.0	nan
ann	12.0	7.0
annabelleroad	8.0	nan
announces	10.0	nan
announcing	14.0	nan
answer	10.0	nan
answered	10.0	nan
ant	6.0	nan
anthonycarron	12.0	nan
anthonyromayo	12.0	nan
anthonyyygg	12.0	nan
anthtomas	12.0	nan
antibes	13.0	nan
any	9.0	8.0
anything	8.0	nan
anytime	12.0	nan
apart	8.0	nan
apartamentos	8.0	nan
apartment	8.0	nan
apartments	8.0	nan
aperol	12.0	nan
apologies	10.0	nan
appartments	8.0	nan
appello	8.0	nan
appetite	12.0	nan
appetito	6.0	1.0
appetizer	11.0	nan
appetizing	11.0	nan
applaud	9.0	nan
apple	16.0	16.0
apple-berry	13.0	nan
apple-carrot	13.0	nan
apple-ginger	8.0	nan
applebee	10.0	10.0
apples	16.0	nan
applesauce	15.0	nan
applesawwce	15.0	nan
appletree	14.0	nan
aquavit	11.0	nan
arame	9.0	nan
arches	16.0	nan
area	5.0	nan
arepas	8.0	nan
argentina	9.0	nan
argentinean	1.0	nan
argento	12.0	nan
aria	13.0	12.0
ariafwright	7.0	nan
ariaisadora	13.0	nan
arizona	11.0	11.0
armies	6.0	nan
arms	12.0	nan
arnold	12.0	16.0
